,index,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
0,0,2015,1,Ciutat Vella,1,el Raval,9.1
1,1,2015,1,Ciutat Vella,2,el Barri Gòtic,6.4
2,2,2015,1,Ciutat Vella,3,la Barceloneta,6.5
3,3,2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7.3
4,4,2015,2,Eixample,5,el Fort Pienc,7.5
5,5,2015,2,Eixample,6,la Sagrada Família,7.6
6,6,2015,2,Eixample,7,la Dreta de l'Eixample,9.0
7,7,2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8.0
8,8,2015,2,Eixample,9,la Nova Esquerra de l'Eixample,7.7
9,9,2015,2,Eixample,10,Sant Antoni,8.7
10,10,2015,3,Sants-Montjuïc,11,el Poble Sec,8.8
11,11,2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,11.5
12,12,2015,3,Sants-Montjuïc,13,la Marina de Port,8.0
13,13,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,6.0
14,14,2015,3,Sants-Montjuïc,15,Hostafrancs,6.7
15,15,2015,3,Sants-Montjuïc,16,la Bordeta,9.1
16,16,2015,3,Sants-Montjuïc,17,Sants - Badal,7.6
17,17,2015,3,Sants-Montjuïc,18,Sants,8.4
18,18,2015,4,Les Corts,19,les Corts,8.3
19,19,2015,4,Les Corts,20,la Maternitat i Sant Ramon,8.3
20,20,2015,4,Les Corts,21,Pedralbes,6.5
21,21,2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",9.5
22,22,2015,5,Sarrià-Sant Gervasi,23,Sarrià,9.1
23,23,2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,8.4
24,24,2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,8.3
25,25,2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,8.7
26,26,2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,9.7
27,27,2015,6,Gràcia,28,Vallcarca i els Penitents,8.7
28,28,2015,6,Gràcia,29,el Coll,7.8
29,29,2015,6,Gràcia,30,la Salut,6.3
30,30,2015,6,Gràcia,31,la Vila de Gràcia,9.7
31,31,2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,8.1
32,32,2015,7,Horta-Guinardó,33,el Baix Guinardó,7.5
33,33,2015,7,Horta-Guinardó,34,Can Baró,5.7
34,34,2015,7,Horta-Guinardó,35,el Guinardó,9.0
35,35,2015,7,Horta-Guinardó,36,la Font d'en Fargues,8.1
36,36,2015,7,Horta-Guinardó,37,el Carmel,7.8
