,Codi_Barri,Any,Codi_Districte,AEB,Seccio_Censal,Valor,NACIONALITAT_G
0,1,2015.0,1.0,4.588235294117647,1011.2647058823529,305.0,1.6764705882352942
1,2,2015.0,1.0,10.333333333333334,1026.5,139.0,1.4166666666666667
2,3,2015.0,1.0,14.333333333333334,1037.4666666666667,184.0,1.3333333333333333
3,4,2015.0,1.0,17.36842105263158,1048.7368421052631,163.0,1.5263157894736843
4,5,2015.0,2.0,20.916666666666668,2010.5416666666667,304.0,1.2916666666666667
5,6,2015.0,2.0,25.2,2038.225,533.0,1.275
6,7,2015.0,2.0,31.0,2069.1944444444443,487.0,1.3333333333333333
7,8,2015.0,2.0,40.111111111111114,2096.472222222222,427.0,1.4166666666666667
8,9,2015.0,2.0,46.770833333333336,2130.1875,585.0,1.2708333333333333
9,10,2015.0,2.0,52.75,2161.8571428571427,358.0,1.2142857142857142
10,11,2015.0,3.0,57.11764705882353,3013.294117647059,350.0,1.411764705882353
11,12,2015.0,3.0,60.0,3025.0,16.0,1.0
12,13,2015.0,3.0,62.4,3068.85,250.0,1.25
13,14,2015.0,3.0,65.0,3042.5833333333335,118.0,1.75
14,15,2015.0,3.0,66.58333333333333,3051.0833333333335,139.0,1.25
15,16,2015.0,3.0,68.53333333333333,3062.3333333333335,189.0,1.2666666666666666
16,17,2015.0,3.0,70.3,3077.3,214.0,1.35
17,18,2015.0,3.0,73.80645161290323,3100.1612903225805,389.0,1.064516129032258
18,19,2015.0,4.0,79.75,4017.975,460.0,1.2
19,20,2015.0,4.0,85.73333333333333,4045.266666666667,207.0,1.0
20,21,2015.0,4.0,89.0,4053.2,88.0,1.4
21,22,2015.0,5.0,91.75,5002.0,48.0,1.5
22,23,2015.0,5.0,95.15,5011.95,253.0,1.3
23,24,2015.0,5.0,98.46153846153847,5025.307692307692,131.0,1.2307692307692308
24,25,2015.0,5.0,102.0,5039.461538461538,244.0,1.3846153846153846
25,26,2015.0,5.0,107.4,5064.875,456.0,1.275
26,27,2015.0,5.0,112.0,5089.375,228.0,1.2916666666666667
27,28,2015.0,6.0,115.21428571428571,6006.928571428572,139.0,1.2857142857142858
28,29,2015.0,6.0,118.0,6015.0,59.0,1.0
29,30,2015.0,6.0,119.66666666666667,6022.583333333333,146.0,1.25
30,31,2015.0,6.0,125.58974358974359,6045.7692307692305,540.0,1.1538461538461537
31,32,2015.0,6.0,132.44827586206895,6075.827586206897,337.0,1.206896551724138
