,Codi_Barri,Any,Codi_Districte,Seccio_Censal,Index_Gini
0,1,2015.0,1.0,11.0,36.33809523809524
1,2,2015.0,1.0,26.77777777777778,40.22826086956522
2,3,2015.0,1.0,37.0,34.95454545454545
3,4,2015.0,1.0,49.0,39.51538461538462
4,5,2015.0,2.0,10.5,34.019999999999996
5,6,2015.0,2.0,37.5,34.04705882352941
6,7,2015.0,2.0,69.0,38.05862068965517
7,8,2015.0,2.0,96.5,37.38076923076923
8,9,2015.0,2.0,129.5,34.802499999999995
9,10,2015.0,2.0,161.5,35.3125
10,11,2015.0,3.0,12.5,34.5625
11,12,2015.0,3.0,25.0,31.3
12,13,2015.0,3.0,64.17647058823529,30.03529411764706
13,14,2015.0,3.0,43.0,32.65714285714286
14,15,2015.0,3.0,51.5,34.980000000000004
15,16,2015.0,3.0,63.0,31.023076923076925
16,17,2015.0,3.0,77.5,32.96875
17,18,2015.0,3.0,100.0,33.286206896551725
18,19,2015.0,4.0,18.0,34.32
19,20,2015.0,4.0,45.266666666666666,32.306666666666665
20,21,2015.0,4.0,53.0,37.429813664596274
21,22,2015.0,5.0,2.0,39.06666666666666
22,23,2015.0,5.0,11.5,37.844293478260866
23,24,2015.0,5.0,25.0,40.79090909090909
24,25,2015.0,5.0,39.5,38.556038647342994
25,26,2015.0,5.0,64.0,39.06654978962132
26,27,2015.0,5.0,89.0,36.347368421052636
27,28,2015.0,6.0,6.636363636363637,35.50909090909091
28,29,2015.0,6.0,15.0,33.86
29,30,2015.0,6.0,22.5,33.21
30,31,2015.0,6.0,45.5,35.138888888888886
31,32,2015.0,6.0,76.0,32.684
32,33,2015.0,7.0,10.0,32.28947368421053
33,34,2015.0,7.0,23.0,32.8
34,35,2015.0,7.0,39.0,33.116
35,36,2015.0,7.0,55.0,32.6
36,37,2015.0,7.0,69.5,29.463636363636365
37,38,2015.0,7.0,84.5,30.475
38,39,2015.0,7.0,91.0,31.439999999999998
39,40,2015.0,7.0,95.5,29.375
40,41,2015.0,7.0,99.5,27.6
41,42,2015.0,7.0,102.0,33.8
42,43,2015.0,7.0,113.0,31.033333333333335
43,44,2015.0,8.0,10.0,31.0
