Codi_Barri,Any,Codi_Districte,Import_Renda_Bruta_€                
1,2015.0,1.0,9950.142857142857
2,2015.0,1.0,14118.444444444445
3,2015.0,1.0,12745.09090909091
4,2015.0,1.0,14595.076923076924
5,2015.0,2.0,19182.3
6,2015.0,2.0,18995.382352941175
7,2015.0,2.0,26377.172413793105
8,2015.0,2.0,23351.53846153846
9,2015.0,2.0,21685.625
10,2015.0,2.0,18631.708333333332
11,2015.0,3.0,13039.041666666666
12,2015.0,3.0,10176.0
13,2015.0,3.0,13490.882352941177
14,2015.0,3.0,17025.285714285714
15,2015.0,3.0,16197.2
16,2015.0,3.0,16116.692307692309
17,2015.0,3.0,16243.4375
18,2015.0,3.0,17925.03448275862
19,2015.0,4.0,24913.85714285714
20,2015.0,4.0,22275.133333333335
21,2015.0,4.0,36129.142857142855
22,2015.0,5.0,24534.666666666668
23,2015.0,5.0,32020.75
24,2015.0,5.0,37685.63636363636
25,2015.0,5.0,32035.222222222223
26,2015.0,5.0,33377.83870967742
27,2015.0,5.0,25382.36842105263
28,2015.0,6.0,23958.81818181818
29,2015.0,6.0,16650.2
30,2015.0,6.0,21566.1
31,2015.0,6.0,19265.333333333332
32,2015.0,6.0,20915.36
33,2015.0,7.0,18070.947368421053
34,2015.0,7.0,16437.0
35,2015.0,7.0,17430.56
36,2015.0,7.0,21203.285714285714
37,2015.0,7.0,12069.772727272728
38,2015.0,7.0,13587.125
39,2015.0,7.0,15147.0
40,2015.0,7.0,16614.25
41,2015.0,7.0,18652.75
42,2015.0,7.0,14838.0
43,2015.0,7.0,16767.04761904762
44,2015.0,8.0,16005.578947368422
45,2015.0,8.0,14240.833333333334
46,2015.0,8.0,11668.8
47,2015.0,8.0,10037.5
48,2015.0,8.0,15688.181818181818
49,2015.0,8.0,14766.0
50,2015.0,8.0,10386.9
51,2015.0,8.0,11263.5
52,2015.0,8.0,12743.4
53,2015.0,8.0,9327.0
54,2015.0,8.0,8510.0
55,2015.0,8.0,8591.166666666666
56,2015.0,8.0,9295.0
57,2015.0,9.0,9857.8
58,2015.0,9.0,8980.0
59,2015.0,9.0,12449.857142857143
60,2015.0,9.0,17549.28205128205
61,2015.0,9.0,16303.45
62,2015.0,9.0,16157.333333333334
63,2015.0,9.0,16588.615384615383
64,2015.0,10.0,17321.12
65,2015.0,10.0,16824.0
66,2015.0,10.0,18127.555555555555
67,2015.0,10.0,29141.0
68,2015.0,10.0,17959.0
69,2015.0,10.0,20526.285714285714
70,2015.0,10.0,10901.76923076923
71,2015.0,10.0,15648.25
72,2015.0,10.0,15257.0
73,2015.0,10.0,13831.52380952381
1,2016.0,1.0,10226.47619047619
2,2016.0,1.0,14445.555555555555
3,2016.0,1.0,13178.272727272728
4,2016.0,1.0,15176.538461538461
5,2016.0,2.0,19654.25
6,2016.0,2.0,19436.852941176472
7,2016.0,2.0,27535.0
8,2016.0,2.0,24038.03846153846
9,2016.0,2.0,22205.475
10,2016.0,2.0,19250.875
11,2016.0,3.0,13446.166666666666
12,2016.0,3.0,10647.0
13,2016.0,3.0,13873.235294117647
14,2016.0,3.0,17302.0
15,2016.0,3.0,16628.8
16,2016.0,3.0,16610.69230769231
17,2016.0,3.0,16142.8125
18,2016.0,3.0,18439.0
19,2016.0,4.0,26004.714285714286
20,2016.0,4.0,23014.533333333333
21,2016.0,4.0,37804.857142857145
22,2016.0,5.0,25693.666666666668
23,2016.0,5.0,33069.375
24,2016.0,5.0,39586.0
25,2016.0,5.0,33697.444444444445
26,2016.0,5.0,34731.22580645161
27,2016.0,5.0,26551.0
28,2016.0,6.0,23755.909090909092
29,2016.0,6.0,17034.8
30,2016.0,6.0,21910.0
31,2016.0,6.0,19812.277777777777
32,2016.0,6.0,21528.6
33,2016.0,7.0,18396.947368421053
34,2016.0,7.0,16829.14285714286
35,2016.0,7.0,17864.08
36,2016.0,7.0,22263.714285714286
37,2016.0,7.0,12465.90909090909
38,2016.0,7.0,14041.625
39,2016.0,7.0,15221.8
40,2016.0,7.0,16750.0
41,2016.0,7.0,19386.25
42,2016.0,7.0,16687.0
43,2016.0,7.0,17244.285714285714
44,2016.0,8.0,16326.052631578947
45,2016.0,8.0,14490.777777777777
46,2016.0,8.0,11985.3
47,2016.0,8.0,10534.0
48,2016.0,8.0,15989.0
49,2016.0,8.0,15313.6
50,2016.0,8.0,10647.7
51,2016.0,8.0,11510.625
52,2016.0,8.0,12934.7
53,2016.0,8.0,9739.4
54,2016.0,8.0,8714.0
55,2016.0,8.0,8588.0
56,2016.0,8.0,9551.0
57,2016.0,9.0,10221.4
58,2016.0,9.0,9528.5
59,2016.0,9.0,12835.285714285714
60,2016.0,9.0,17989.0
61,2016.0,9.0,16765.6
62,2016.0,9.0,16523.555555555555
63,2016.0,9.0,17169.615384615383
64,2016.0,10.0,17855.68
65,2016.0,10.0,17365.58823529412
66,2016.0,10.0,18631.222222222223
67,2016.0,10.0,29254.0
68,2016.0,10.0,18456.05
69,2016.0,10.0,21220.14285714286
70,2016.0,10.0,11208.076923076924
71,2016.0,10.0,16362.333333333334
72,2016.0,10.0,15618.666666666666
73,2016.0,10.0,14220.095238095239
1,2017.0,1.0,10834.047619047618
2,2017.0,1.0,15350.444444444445
3,2017.0,1.0,13831.0
4,2017.0,1.0,16026.923076923076
5,2017.0,2.0,20499.45
6,2017.0,2.0,20013.147058823528
7,2017.0,2.0,28388.103448275862
8,2017.0,2.0,25119.076923076922
9,2017.0,2.0,22936.6
10,2017.0,2.0,19925.333333333332
11,2017.0,3.0,14070.541666666666
12,2017.0,3.0,11299.0
13,2017.0,3.0,14217.411764705883
14,2017.0,3.0,18134.571428571428
15,2017.0,3.0,17182.6
16,2017.0,3.0,17223.615384615383
17,2017.0,3.0,16613.4375
18,2017.0,3.0,18968.48275862069
19,2017.0,4.0,26558.657142857144
20,2017.0,4.0,23537.933333333334
21,2017.0,4.0,38892.57142857143
22,2017.0,5.0,26301.333333333332
23,2017.0,5.0,34629.3125
24,2017.0,5.0,40946.818181818184
25,2017.0,5.0,35277.61111111111
26,2017.0,5.0,36166.93548387097
27,2017.0,5.0,27341.105263157893
28,2017.0,6.0,23899.0
29,2017.0,6.0,17621.8
30,2017.0,6.0,22681.0
31,2017.0,6.0,20746.13888888889
32,2017.0,6.0,22376.04
33,2017.0,7.0,18822.157894736843
34,2017.0,7.0,17356.714285714286
35,2017.0,7.0,18313.56
36,2017.0,7.0,22366.14285714286
37,2017.0,7.0,12762.318181818182
38,2017.0,7.0,14399.25
39,2017.0,7.0,15686.0
40,2017.0,7.0,17010.5
41,2017.0,7.0,19869.0
42,2017.0,7.0,16165.0
43,2017.0,7.0,17880.52380952381
44,2017.0,8.0,16599.157894736843
45,2017.0,8.0,14671.0
46,2017.0,8.0,12176.2
47,2017.0,8.0,10678.5
48,2017.0,8.0,16400.272727272728
49,2017.0,8.0,15392.6
50,2017.0,8.0,10967.1
51,2017.0,8.0,11770.875
52,2017.0,8.0,13245.2
53,2017.0,8.0,10068.4
54,2017.0,8.0,9125.5
55,2017.0,8.0,8718.833333333334
56,2017.0,8.0,9757.0
57,2017.0,9.0,10418.8
58,2017.0,9.0,9753.5
59,2017.0,9.0,13192.42857142857
60,2017.0,9.0,18391.48717948718
61,2017.0,9.0,17209.3
62,2017.0,9.0,16984.444444444445
63,2017.0,9.0,17571.69230769231
64,2017.0,10.0,18220.24
65,2017.0,10.0,17740.882352941175
66,2017.0,10.0,19388.444444444445
67,2017.0,10.0,29862.0
68,2017.0,10.0,19217.8
69,2017.0,10.0,22508.0
70,2017.0,10.0,11462.923076923076
71,2017.0,10.0,16919.083333333332
72,2017.0,10.0,16065.166666666666
73,2017.0,10.0,14427.238095238095
1,2018.0,1.0,11238.095238095239
2,2018.0,1.0,15882.444444444445
3,2018.0,1.0,14431.09090909091
4,2018.0,1.0,16840.30769230769
5,2018.0,2.0,21270.55
6,2018.0,2.0,20864.970588235294
7,2018.0,2.0,29393.655172413793
8,2018.0,2.0,26336.884615384617
9,2018.0,2.0,24023.65
10,2018.0,2.0,20493.083333333332
11,2018.0,3.0,14590.083333333334
12,2018.0,3.0,11622.0
13,2018.0,3.0,14734.35294117647
14,2018.0,3.0,18791.714285714286
15,2018.0,3.0,17755.9
16,2018.0,3.0,17804.846153846152
17,2018.0,3.0,17454.875
18,2018.0,3.0,19900.241379310344
19,2018.0,4.0,27754.314285714285
20,2018.0,4.0,24543.733333333334
21,2018.0,4.0,41812.857142857145
22,2018.0,5.0,28890.333333333332
23,2018.0,5.0,37605.1875
24,2018.0,5.0,44296.90909090909
25,2018.0,5.0,37586.833333333336
26,2018.0,5.0,38786.096774193546
27,2018.0,5.0,28765.105263157893
28,2018.0,6.0,25052.636363636364
29,2018.0,6.0,18414.6
30,2018.0,6.0,23568.3
31,2018.0,6.0,21778.833333333332
32,2018.0,6.0,22968.0
33,2018.0,7.0,19596.473684210527
34,2018.0,7.0,17827.428571428572
35,2018.0,7.0,18899.4
36,2018.0,7.0,23197.85714285714
37,2018.0,7.0,13314.727272727272
38,2018.0,7.0,14850.125
39,2018.0,7.0,16191.6
40,2018.0,7.0,17563.5
41,2018.0,7.0,20614.0
42,2018.0,7.0,17505.0
43,2018.0,7.0,18508.85714285714
44,2018.0,8.0,17254.21052631579
45,2018.0,8.0,15194.111111111111
46,2018.0,8.0,12692.7
47,2018.0,8.0,11221.0
48,2018.0,8.0,17104.81818181818
49,2018.0,8.0,16067.4
50,2018.0,8.0,11185.9
51,2018.0,8.0,12233.875
52,2018.0,8.0,13726.35
53,2018.0,8.0,10314.4
54,2018.0,8.0,9676.0
55,2018.0,8.0,9143.666666666666
56,2018.0,8.0,10553.0
57,2018.0,9.0,10749.0
58,2018.0,9.0,10248.5
59,2018.0,9.0,13764.0
60,2018.0,9.0,19263.48717948718
61,2018.0,9.0,17758.75
62,2018.0,9.0,17627.444444444445
63,2018.0,9.0,18283.846153846152
64,2018.0,10.0,18997.68
65,2018.0,10.0,18642.117647058825
66,2018.0,10.0,20137.333333333332
67,2018.0,10.0,30514.4
68,2018.0,10.0,19976.4
69,2018.0,10.0,23289.428571428572
70,2018.0,10.0,11849.307692307691
71,2018.0,10.0,17352.75
72,2018.0,10.0,16555.61111111111
73,2018.0,10.0,14893.0
1,2019.0,1.0,11778.52380952381
2,2019.0,1.0,16390.333333333332
3,2019.0,1.0,15094.272727272728
4,2019.0,1.0,17332.076923076922
5,2019.0,2.0,21988.95
6,2019.0,2.0,21533.08823529412
7,2019.0,2.0,30201.655172413793
8,2019.0,2.0,27051.153846153848
9,2019.0,2.0,24607.675
10,2019.0,2.0,21295.625
11,2019.0,3.0,15334.666666666666
12,2019.0,3.0,11988.0
13,2019.0,3.0,15332.529411764706
14,2019.0,3.0,19289.285714285714
15,2019.0,3.0,18579.0
16,2019.0,3.0,18703.923076923078
17,2019.0,3.0,17918.25
18,2019.0,3.0,20532.0
19,2019.0,4.0,28655.428571428572
20,2019.0,4.0,25425.2
21,2019.0,4.0,41666.71428571428
22,2019.0,5.0,30409.666666666668
23,2019.0,5.0,37919.8125
24,2019.0,5.0,44188.90909090909
25,2019.0,5.0,38214.77777777778
26,2019.0,5.0,39419.32258064516
27,2019.0,5.0,29500.842105263157
28,2019.0,6.0,25468.090909090908
29,2019.0,6.0,19587.0
30,2019.0,6.0,24441.0
31,2019.0,6.0,22723.194444444445
32,2019.0,6.0,24012.12
33,2019.0,7.0,20589.052631578947
34,2019.0,7.0,18668.571428571428
35,2019.0,7.0,19672.4
36,2019.0,7.0,24175.571428571428
37,2019.0,7.0,13893.772727272728
38,2019.0,7.0,15303.125
39,2019.0,7.0,16368.6
40,2019.0,7.0,18287.75
41,2019.0,7.0,21226.5
42,2019.0,7.0,17457.0
43,2019.0,7.0,19099.14285714286
44,2019.0,8.0,17959.526315789473
45,2019.0,8.0,15702.666666666666
46,2019.0,8.0,13154.6
47,2019.0,8.0,11609.0
48,2019.0,8.0,17648.727272727272
49,2019.0,8.0,16819.2
50,2019.0,8.0,11673.6
51,2019.0,8.0,12623.125
52,2019.0,8.0,14375.65
53,2019.0,8.0,10941.4
54,2019.0,8.0,10289.0
55,2019.0,8.0,9556.333333333334
56,2019.0,8.0,10844.0
57,2019.0,9.0,11180.4
58,2019.0,9.0,10581.5
59,2019.0,9.0,14390.142857142857
60,2019.0,9.0,19974.410256410258
61,2019.0,9.0,18411.0
62,2019.0,9.0,18420.555555555555
63,2019.0,9.0,18949.30769230769
64,2019.0,10.0,19523.68
65,2019.0,10.0,19270.470588235294
66,2019.0,10.0,20808.222222222223
67,2019.0,10.0,31853.2
68,2019.0,10.0,21094.05
69,2019.0,10.0,24135.285714285714
70,2019.0,10.0,12460.076923076924
71,2019.0,10.0,18016.583333333332
72,2019.0,10.0,17247.833333333332
73,2019.0,10.0,15612.142857142857
