,index,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
0,0,2015,1,Ciutat Vella,1,el Raval,113.2
1,1,2015,1,Ciutat Vella,2,el Barri Gòtic,142.2
2,2,2015,1,Ciutat Vella,3,la Barceloneta,103.3
3,3,2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",113.6
4,4,2015,2,Eixample,5,el Fort Pienc,63.5
5,5,2015,2,Eixample,6,la Sagrada Família,63.9
6,6,2015,2,Eixample,7,la Dreta de l'Eixample,68.2
7,7,2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70.4
8,8,2015,2,Eixample,9,la Nova Esquerra de l'Eixample,61.4
9,9,2015,2,Eixample,10,Sant Antoni,60.3
10,10,2015,3,Sants-Montjuïc,11,el Poble Sec,71.9
11,11,2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,54.2
12,12,2015,3,Sants-Montjuïc,13,la Marina de Port,45.1
13,13,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,73.5
14,14,2015,3,Sants-Montjuïc,15,Hostafrancs,74.5
15,15,2015,3,Sants-Montjuïc,16,la Bordeta,51.0
16,16,2015,3,Sants-Montjuïc,17,Sants - Badal,61.4
17,17,2015,3,Sants-Montjuïc,18,Sants,61.6
18,18,2015,4,Les Corts,19,les Corts,46.1
19,19,2015,4,Les Corts,20,la Maternitat i Sant Ramon,56.2
20,20,2015,4,Les Corts,21,Pedralbes,63.3
21,21,2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",50.1
22,22,2015,5,Sarrià-Sant Gervasi,23,Sarrià,48.1
23,23,2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,42.9
24,24,2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,48.2
25,25,2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,48.5
26,26,2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,50.0
27,27,2015,6,Gràcia,28,Vallcarca i els Penitents,42.7
28,28,2015,6,Gràcia,29,el Coll,50.6
29,29,2015,6,Gràcia,30,la Salut,41.8
30,30,2015,6,Gràcia,31,la Vila de Gràcia,69.4
31,31,2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,48.4
32,32,2015,7,Horta-Guinardó,33,el Baix Guinardó,47.3
33,33,2015,7,Horta-Guinardó,34,Can Baró,45.5
34,34,2015,7,Horta-Guinardó,35,el Guinardó,46.4
35,35,2015,7,Horta-Guinardó,36,la Font d'en Fargues,24.4
36,36,2015,7,Horta-Guinardó,37,el Carmel,37.0
37,37,2015,7,Horta-Guinardó,38,la Teixonera,36.9
38,38,2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,40.1
39,39,2015,7,Horta-Guinardó,40,Montbau,43.9
40,40,2015,7,Horta-Guinardó,41,la Vall d'Hebron,33.6
41,41,2015,7,Horta-Guinardó,42,la Clota,51.6
42,42,2015,7,Horta-Guinardó,43,Horta,37.3
43,43,2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,39.4
44,44,2015,8,Nou Barris,45,Porta,41.4
45,45,2015,8,Nou Barris,46,el Turó de la Peira,49.3
46,46,2015,8,Nou Barris,47,Can Peguera,18.0
47,47,2015,8,Nou Barris,48,la Guineueta,28.8
48,48,2015,8,Nou Barris,49,Canyelles,23.2
49,49,2015,8,Nou Barris,50,les Roquetes,54.6
50,50,2015,8,Nou Barris,51,Verdun,48.5
51,51,2015,8,Nou Barris,52,la Prosperitat,40.8
52,52,2015,8,Nou Barris,53,la Trinitat Nova,51.8
53,53,2015,8,Nou Barris,54,Torre Baró,51.7
54,54,2015,8,Nou Barris,55,Ciutat Meridiana,58.5
55,55,2015,8,Nou Barris,56,Vallbona,54.6
56,56,2015,9,Sant Andreu,57,la Trinitat Vella,68.9
57,57,2015,9,Sant Andreu,58,Baró de Viver,44.3
58,58,2015,9,Sant Andreu,59,el Bon Pastor,46.1
59,59,2015,9,Sant Andreu,60,Sant Andreu,32.0
60,60,2015,9,Sant Andreu,61,la Sagrera,40.7
61,61,2015,9,Sant Andreu,62,el Congrés i els Indians,40.3
62,62,2015,9,Sant Andreu,63,Navas,42.4
63,63,2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,51.0
64,64,2015,10,Sant Martí,65,el Clot,45.1
65,65,2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,60.5
66,66,2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,51.8
67,67,2015,10,Sant Martí,68,el Poblenou,47.9
68,68,2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,50.3
69,69,2015,10,Sant Martí,70,el Besòs i el Maresme,68.8
70,70,2015,10,Sant Martí,71,Provençals del Poblenou,46.6
71,71,2015,10,Sant Martí,72,Sant Martí de Provençals,36.9
72,72,2015,10,Sant Martí,73,la Verneda i la Pau,38.0
73,0,2016,1,Ciutat Vella,1,el Raval,105.5
74,1,2016,1,Ciutat Vella,2,el Barri Gòtic,140.7
75,2,2016,1,Ciutat Vella,3,la Barceloneta,103.0
76,3,2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",106.5
77,4,2016,2,Eixample,5,el Fort Pienc,62.9
78,5,2016,2,Eixample,6,la Sagrada Família,61.4
79,6,2016,2,Eixample,7,la Dreta de l'Eixample,67.4
80,7,2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,69.5
81,8,2016,2,Eixample,9,la Nova Esquerra de l'Eixample,60.4
82,9,2016,2,Eixample,10,Sant Antoni,56.2
83,10,2016,3,Sants-Montjuïc,11,el Poble Sec,68.1
84,11,2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,30.6
85,12,2016,3,Sants-Montjuïc,13,la Marina de Port,42.8
86,13,2016,3,Sants-Montjuïc,14,la Font de la Guatlla,58.2
87,14,2016,3,Sants-Montjuïc,15,Hostafrancs,64.3
88,15,2016,3,Sants-Montjuïc,16,la Bordeta,47.9
89,16,2016,3,Sants-Montjuïc,17,Sants - Badal,57.1
90,17,2016,3,Sants-Montjuïc,18,Sants,56.9
91,18,2016,4,Les Corts,19,les Corts,44.5
92,19,2016,4,Les Corts,20,la Maternitat i Sant Ramon,50.7
93,20,2016,4,Les Corts,21,Pedralbes,61.9
94,21,2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",32.3
95,22,2016,5,Sarrià-Sant Gervasi,23,Sarrià,45.6
96,23,2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,37.1
97,24,2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,43.7
98,25,2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,48.1
99,26,2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,43.2
100,27,2016,6,Gràcia,28,Vallcarca i els Penitents,43.5
101,28,2016,6,Gràcia,29,el Coll,44.9
102,29,2016,6,Gràcia,30,la Salut,46.4
103,30,2016,6,Gràcia,31,la Vila de Gràcia,60.3
104,31,2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,43.9
105,32,2016,7,Horta-Guinardó,33,el Baix Guinardó,41.4
106,33,2016,7,Horta-Guinardó,34,Can Baró,41.7
107,34,2016,7,Horta-Guinardó,35,el Guinardó,44.9
108,35,2016,7,Horta-Guinardó,36,la Font d'en Fargues,21.4
109,36,2016,7,Horta-Guinardó,37,el Carmel,36.7
110,37,2016,7,Horta-Guinardó,38,la Teixonera,47.5
111,38,2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,51.5
112,39,2016,7,Horta-Guinardó,40,Montbau,45.7
113,40,2016,7,Horta-Guinardó,41,la Vall d'Hebron,37.1
114,41,2016,7,Horta-Guinardó,42,la Clota,39.4
115,42,2016,7,Horta-Guinardó,43,Horta,36.5
116,43,2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,37.4
117,44,2016,8,Nou Barris,45,Porta,47.5
118,45,2016,8,Nou Barris,46,el Turó de la Peira,46.6
119,46,2016,8,Nou Barris,47,Can Peguera,30.1
120,47,2016,8,Nou Barris,48,la Guineueta,30.8
121,48,2016,8,Nou Barris,49,Canyelles,18.6
122,49,2016,8,Nou Barris,50,les Roquetes,55.3
123,50,2016,8,Nou Barris,51,Verdun,46.9
124,51,2016,8,Nou Barris,52,la Prosperitat,41.9
125,52,2016,8,Nou Barris,53,la Trinitat Nova,47.5
126,53,2016,8,Nou Barris,54,Torre Baró,44.7
127,54,2016,8,Nou Barris,55,Ciutat Meridiana,62.3
128,55,2016,8,Nou Barris,56,Vallbona,48.0
129,56,2016,9,Sant Andreu,57,la Trinitat Vella,54.3
130,57,2016,9,Sant Andreu,58,Baró de Viver,33.5
131,58,2016,9,Sant Andreu,59,el Bon Pastor,38.4
132,59,2016,9,Sant Andreu,60,Sant Andreu,30.8
133,60,2016,9,Sant Andreu,61,la Sagrera,40.9
134,61,2016,9,Sant Andreu,62,el Congrés i els Indians,39.1
135,62,2016,9,Sant Andreu,63,Navas,41.3
136,63,2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,49.7
137,64,2016,10,Sant Martí,65,el Clot,43.0
138,65,2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,57.6
139,66,2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,41.8
140,67,2016,10,Sant Martí,68,el Poblenou,48.2
141,68,2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,49.9
142,69,2016,10,Sant Martí,70,el Besòs i el Maresme,69.2
143,70,2016,10,Sant Martí,71,Provençals del Poblenou,39.5
144,71,2016,10,Sant Martí,72,Sant Martí de Provençals,39.8
145,72,2016,10,Sant Martí,73,la Verneda i la Pau,35.1
146,0,2017,1,Ciutat Vella,1,el Raval,113.4
147,1,2017,1,Ciutat Vella,2,el Barri Gòtic,167.2
148,2,2017,1,Ciutat Vella,3,la Barceloneta,117.2
149,3,2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",121.6
150,4,2017,2,Eixample,5,el Fort Pienc,69.8
151,5,2017,2,Eixample,6,la Sagrada Família,69.6
152,6,2017,2,Eixample,7,la Dreta de l'Eixample,72.6
153,7,2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,81.9
154,8,2017,2,Eixample,9,la Nova Esquerra de l'Eixample,69.8
155,9,2017,2,Eixample,10,Sant Antoni,64.9
156,10,2017,3,Sants-Montjuïc,11,el Poble Sec,76.7
157,11,2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,27.8
158,12,2017,3,Sants-Montjuïc,13,la Marina de Port,49.0
159,13,2017,3,Sants-Montjuïc,14,la Font de la Guatlla,62.1
160,14,2017,3,Sants-Montjuïc,15,Hostafrancs,72.8
161,15,2017,3,Sants-Montjuïc,16,la Bordeta,50.9
162,16,2017,3,Sants-Montjuïc,17,Sants - Badal,61.5
163,17,2017,3,Sants-Montjuïc,18,Sants,69.0
164,18,2017,4,Les Corts,19,les Corts,49.4
165,19,2017,4,Les Corts,20,la Maternitat i Sant Ramon,55.7
166,20,2017,4,Les Corts,21,Pedralbes,63.2
167,21,2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",40.0
168,22,2017,5,Sarrià-Sant Gervasi,23,Sarrià,48.2
169,23,2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,42.1
170,24,2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,45.8
171,25,2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,51.0
172,26,2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,51.4
173,27,2017,6,Gràcia,28,Vallcarca i els Penitents,48.9
174,28,2017,6,Gràcia,29,el Coll,50.1
175,29,2017,6,Gràcia,30,la Salut,55.5
176,30,2017,6,Gràcia,31,la Vila de Gràcia,70.8
177,31,2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,52.1
178,32,2017,7,Horta-Guinardó,33,el Baix Guinardó,50.0
