,Codi_Barri,Codi_Districte,AEB,Seccio_Censal,Valor,SEXE
0,1,1.0,4.523809523809524,1011.0,47150.0,1.5
1,2,1.0,10.444444444444445,1026.7777777777778,15514.0,1.5
2,3,1.0,14.272727272727273,1037.0,15037.0,1.5
3,4,1.0,17.384615384615383,1049.0,22468.0,1.5
4,5,2.0,20.9,2010.5,31548.0,1.5
5,6,2.0,25.11764705882353,2037.5,51094.0,1.5
6,7,2.0,30.93103448275862,2069.0,43558.0,1.5
7,8,2.0,40.15384615384615,2096.5,41662.0,1.5
8,9,2.0,46.65,2129.5,57664.0,1.5
9,10,2.0,52.666666666666664,2161.5,38031.0,1.5
10,11,3.0,57.0,3012.5,40222.0,1.5
11,12,3.0,60.0,3025.0,1122.0,1.5
12,13,3.0,62.23529411764706,3064.176470588235,30237.0,1.5
13,14,3.0,65.0,3043.0,10371.0,1.5
14,15,3.0,66.6,3051.5,15758.0,1.5
15,16,3.0,68.61538461538461,3063.0,18384.0,1.5
16,17,3.0,70.3125,3077.5,24016.0,1.5
17,18,3.0,73.79310344827586,3100.0,40703.0,1.5
18,19,4.0,79.74285714285715,4018.0,46003.0,1.5
19,20,4.0,85.73333333333333,4045.266666666667,23810.0,1.5
20,21,4.0,88.85714285714286,4053.0,11716.0,1.5
21,22,5.0,91.66666666666667,5002.0,4604.0,1.5
22,23,5.0,95.0625,5011.5,24640.0,1.5
23,24,5.0,98.36363636363636,5025.0,16501.0,1.5
24,25,5.0,102.05555555555556,5039.5,25368.0,1.5
25,26,5.0,107.19354838709677,5064.0,46711.0,1.5
26,27,5.0,111.89473684210526,5089.0,29024.0,1.5
27,28,6.0,115.18181818181819,6006.636363636364,15520.0,1.5
28,29,6.0,118.0,6015.0,7351.0,1.5
29,30,6.0,119.6,6022.5,13220.0,1.5
30,31,6.0,125.5,6045.5,50441.0,1.5
31,32,6.0,132.48,6076.0,33913.0,1.5
32,33,7.0,135.89473684210526,7010.0,25474.0,1.5
33,34,7.0,138.0,7023.0,8824.0,1.5
34,35,7.0,140.96,7039.0,35784.0,1.5
35,36,7.0,144.57142857142858,7055.0,9399.0,1.5
36,37,7.0,147.36363636363637,7069.5,31449.0,1.5
37,38,7.0,149.0,7084.5,11360.0,1.5
38,39,7.0,150.0,7091.0,6721.0,1.5
39,40,7.0,151.0,7095.5,5041.0,1.5
40,41,7.0,152.0,7099.5,5467.0,1.5
41,42,7.0,153.0,7102.0,542.0,1.5
42,43,7.0,154.8095238095238,7113.0,26469.0,1.5
43,44,8.0,158.3684210526316,8010.0,25444.0,1.5
44,45,8.0,162.0,8028.5,24299.0,1.5
45,46,8.0,164.4,8042.5,15328.0,1.5
46,47,8.0,166.0,8048.5,2275.0,1.5
47,48,8.0,167.36363636363637,8069.090909090909,15097.0,1.5
48,49,8.0,169.0,8062.0,6952.0,1.5
49,50,8.0,170.5,8069.5,15400.0,1.5
50,51,8.0,172.625,8078.5,12226.0,1.5
51,52,8.0,175.7,8092.5,25974.0,1.5
52,53,8.0,178.0,8105.0,7335.0,1.5
53,54,8.0,179.0,8108.5,2734.0,1.5
54,55,8.0,180.0,8112.5,10239.0,1.5
55,56,8.0,181.0,8116.0,1334.0,1.5
56,57,9.0,182.0,9003.0,10068.0,1.5
57,58,9.0,183.0,9006.5,2482.0,1.5
58,59,9.0,184.71428571428572,9011.42857142857,12560.0,1.5
59,60,9.0,189.23076923076923,9035.0,56491.0,1.5
60,61,9.0,194.5,9068.6,28899.0,1.5
61,62,9.0,197.55555555555554,9078.0,14046.0,1.5
62,63,9.0,199.46153846153845,9089.0,21966.0,1.5
63,64,10.0,202.64,10013.0,38168.0,1.5
64,65,10.0,205.88235294117646,10045.29411764706,26932.0,1.5
65,66,10.0,208.77777777777777,10046.0,14713.0,1.5
66,67,10.0,210.2,10053.0,9331.0,1.5
67,68,10.0,213.85,10065.5,33437.0,1.5
68,69,10.0,216.71428571428572,10123.0,13374.0,1.5
69,70,10.0,220.3846153846154,10087.0,22844.0,1.5
70,71,10.0,224.25,10110.5,20163.0,1.5
71,72,10.0,227.27777777777777,10113.5,25971.0,1.5
72,73,10.0,231.23809523809524,10133.0,28727.0,1.5
73,1,1.0,4.523809523809524,1011.0,47196.0,1.5
74,2,1.0,10.444444444444445,1026.7777777777778,15729.0,1.5
75,3,1.0,14.272727272727273,1037.0,15068.0,1.5
76,4,1.0,17.384615384615383,1049.0,22380.0,1.5
77,5,2.0,20.9,2010.5,31693.0,1.5
78,6,2.0,25.11764705882353,2037.5,51354.0,1.5
79,7,2.0,30.93103448275862,2069.0,43692.0,1.5
80,8,2.0,40.15384615384615,2096.5,41895.0,1.5
81,9,2.0,46.65,2129.5,57699.0,1.5
82,10,2.0,52.666666666666664,2161.5,38235.0,1.5
83,11,3.0,57.0,3012.5,40129.0,1.5
84,12,3.0,60.0,3025.0,1146.0,1.5
85,13,3.0,62.23529411764706,3064.176470588235,30397.0,1.5
86,14,3.0,65.0,3043.0,10316.0,1.5
87,15,3.0,66.6,3051.5,15915.0,1.5
88,16,3.0,68.61538461538461,3063.0,18518.0,1.5
89,17,3.0,70.3125,3077.5,23935.0,1.5
90,18,3.0,73.79310344827586,3100.0,40831.0,1.5
91,19,4.0,79.74285714285715,4018.0,45976.0,1.5
92,20,4.0,85.73333333333333,4045.266666666667,23868.0,1.5
