,Codi_Barri,Any,Mes,Codi_Districte,Població_16_64_anys,Pes_atur
0,1,2015.0,6.5,1.0,34989.0,11.583333333333334
1,2,2015.0,6.5,1.0,11868.0,9.116666666666667
2,3,2015.0,6.5,1.0,10664.0,11.291666666666666
3,4,2015.0,6.5,1.0,16736.0,9.958333333333334
4,5,2015.0,6.5,2.0,20875.0,7.633333333333333
5,6,2015.0,6.5,2.0,33914.0,7.7
6,7,2015.0,6.5,2.0,28600.0,6.008333333333333
7,8,2015.0,6.5,2.0,27609.0,6.816666666666666
8,9,2015.0,6.5,2.0,38012.0,7.333333333333333
9,10,2015.0,6.5,2.0,25144.0,7.9750000000000005
10,11,2015.0,6.5,3.0,28124.0,10.475
11,12,2015.0,6.5,3.0,755.0,19.45
12,13,2015.0,6.5,3.0,19713.0,11.141666666666666
13,14,2015.0,6.5,3.0,6915.0,10.725
14,15,2015.0,6.5,3.0,10957.0,8.283333333333333
15,16,2015.0,6.5,3.0,12073.0,8.816666666666666
16,17,2015.0,6.5,3.0,16032.0,7.491666666666667
17,18,2015.0,6.5,3.0,27046.0,8.216666666666667
18,19,2015.0,6.5,4.0,28815.0,7.858333333333333
19,20,2015.0,6.5,4.0,14851.0,8.0
20,21,2015.0,6.5,4.0,6930.0,3.9
21,22,2015.0,6.5,5.0,2944.0,3.775
22,23,2015.0,6.5,5.0,14738.0,3.966666666666667
23,24,2015.0,6.5,5.0,10025.0,4.325
24,25,2015.0,6.5,5.0,15451.0,4.733333333333333
25,26,2015.0,6.5,5.0,28573.0,4.7749999999999995
26,27,2015.0,6.5,5.0,18547.0,6.766666666666667
27,28,2015.0,6.5,6.0,9694.0,8.283333333333333
28,29,2015.0,6.5,6.0,4825.0,7.016666666666667
29,30,2015.0,6.5,6.0,8320.0,7.941666666666666
30,31,2015.0,6.5,6.0,34427.0,7.558333333333334
31,32,2015.0,6.5,6.0,21755.0,7.75
32,33,2015.0,6.5,7.0,16205.0,8.025
33,34,2015.0,6.5,7.0,5617.0,8.416666666666666
34,35,2015.0,6.5,7.0,22860.0,9.166666666666666
35,36,2015.0,6.5,7.0,5765.0,11.058333333333332
36,37,2015.0,6.5,7.0,19909.0,10.9
37,38,2015.0,6.5,7.0,7365.0,8.808333333333334
38,39,2015.0,6.5,7.0,3998.0,9.766666666666667
39,40,2015.0,6.5,7.0,2812.0,10.041666666666666
40,41,2015.0,6.5,7.0,3291.0,9.158333333333333
41,42,2015.0,6.5,7.0,364.0,5.791666666666667
42,43,2015.0,6.5,7.0,16278.0,11.158333333333333
43,44,2015.0,6.5,8.0,15943.0,10.641666666666667
44,45,2015.0,6.5,8.0,14840.0,11.200000000000001
45,46,2015.0,6.5,8.0,9411.0,11.200000000000001
46,47,2015.0,6.5,8.0,1425.0,10.291666666666666
47,48,2015.0,6.5,8.0,8725.0,13.641666666666666
48,49,2015.0,6.5,8.0,4376.0,13.266666666666666
49,50,2015.0,6.5,8.0,10092.0,12.475
50,51,2015.0,6.5,8.0,7655.0,12.608333333333334
51,52,2015.0,6.5,8.0,15785.0,11.85
52,53,2015.0,6.5,8.0,4728.0,17.625
53,54,2015.0,6.5,8.0,1834.0,12.558333333333332
54,55,2015.0,6.5,8.0,6609.0,18.166666666666668
