,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Birth_Rates_Per1000,Num_Deaths,Avg_Household_Income,Index_Gini,AVG_GROSS_INCOME,Immigration_Per1000,Population,Població_16_64_anys,Unemployment_Rate
0,2015,1,Ciutat Vella,1,el Raval,9.1,305.0,10896,36.33809523809524,9950.142857142857,113.2,47150.0,34989.0,11.583333333333334
1,2015,1,Ciutat Vella,2,el Barri Gòtic,6.4,139.0,14456,40.22826086956522,14118.444444444443,142.2,15514.0,11868.0,9.116666666666667
2,2015,1,Ciutat Vella,3,la Barceloneta,6.5,184.0,14714,34.95454545454545,12745.09090909091,103.3,15037.0,10664.0,11.291666666666666
3,2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7.3,163.0,15154,39.51538461538462,14595.076923076924,113.6,22468.0,16736.0,9.958333333333334
4,2015,2,Eixample,5,el Fort Pienc,7.5,304.0,20817,34.019999999999996,19182.3,63.5,31548.0,20875.0,7.633333333333333
5,2015,2,Eixample,6,la Sagrada Família,7.6,533.0,21089,34.04705882352941,18995.382352941175,63.9,51094.0,33914.0,7.7
6,2015,2,Eixample,7,la Dreta de l'Eixample,9.0,487.0,25759,38.05862068965517,26377.172413793105,68.2,43558.0,28600.0,6.008333333333333
7,2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8.0,427.0,24252,37.38076923076923,23351.53846153846,70.4,41662.0,27609.0,6.816666666666666
8,2015,2,Eixample,9,la Nova Esquerra de l'Eixample,7.7,585.0,23180,34.802499999999995,21685.625,61.4,57664.0,38012.0,7.333333333333333
9,2015,2,Eixample,10,Sant Antoni,8.7,358.0,20496,35.3125,18631.708333333332,60.3,38031.0,25144.0,7.975
10,2015,3,Sants-Montjuïc,11,el Poble Sec,8.8,350.0,14664,34.5625,13039.041666666666,71.9,40222.0,28124.0,10.475
11,2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,11.5,16.0,11935,31.3,10176.0,54.2,1122.0,755.0,19.45
12,2015,3,Sants-Montjuïc,13,la Marina de Port,8.0,250.0,16119,30.03529411764706,13490.882352941177,45.1,30237.0,19713.0,11.141666666666666
13,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,6.0,118.0,18850,32.65714285714286,17025.285714285714,73.5,10371.0,6915.0,10.725
14,2015,3,Sants-Montjuïc,15,Hostafrancs,6.7,139.0,18397,34.980000000000004,16197.2,74.5,15758.0,10957.0,8.283333333333333
15,2015,3,Sants-Montjuïc,16,la Bordeta,9.1,189.0,18514,31.023076923076925,16116.692307692309,51.0,18384.0,12073.0,8.816666666666666
16,2015,3,Sants-Montjuïc,17,Sants - Badal,7.6,214.0,18297,32.96875,16243.4375,61.4,24016.0,16032.0,7.491666666666667
17,2015,3,Sants-Montjuïc,18,Sants,8.4,389.0,19987,33.286206896551725,17925.03448275862,61.6,40703.0,27046.0,8.216666666666667
18,2015,4,Les Corts,19,les Corts,8.3,460.0,25740,34.32,24913.85714285714,46.1,46003.0,28815.0,7.858333333333333
19,2015,4,Les Corts,20,la Maternitat i Sant Ramon,8.3,207.0,23709,32.306666666666665,22275.133333333335,56.2,23810.0,14851.0,8.0
20,2015,4,Les Corts,21,Pedralbes,6.5,88.0,33169,37.429813664596274,36129.142857142855,63.3,11716.0,6930.0,3.9
21,2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",9.5,48.0,22840,39.06666666666666,24534.666666666668,50.1,4604.0,2944.0,3.775
22,2015,5,Sarrià-Sant Gervasi,23,Sarrià,9.1,253.0,28847,37.844293478260866,32020.75,48.1,24640.0,14738.0,3.966666666666667
23,2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,8.4,131.0,33899,40.79090909090909,37685.63636363636,42.9,16501.0,10025.0,4.325
24,2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,8.3,244.0,29681,38.556038647342994,32035.222222222223,48.2,25368.0,15451.0,4.733333333333333
25,2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,8.7,456.0,31298,39.06654978962132,33377.83870967742,48.5,46711.0,28573.0,4.7749999999999995
26,2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,9.7,228.0,26114,36.34736842105264,25382.36842105263,50.0,29024.0,18547.0,6.766666666666667
27,2015,6,Gràcia,28,Vallcarca i els Penitents,8.7,139.0,24090,35.50909090909091,23958.81818181818,42.7,15520.0,9694.0,8.283333333333333
28,2015,6,Gràcia,29,el Coll,7.8,59.0,18934,33.86,16650.2,50.6,7351.0,4825.0,7.016666666666667
29,2015,6,Gràcia,30,la Salut,6.3,146.0,22090,33.21,21566.1,41.8,13220.0,8320.0,7.941666666666666
30,2015,6,Gràcia,31,la Vila de Gràcia,9.7,540.0,20602,35.138888888888886,19265.333333333332,69.4,50441.0,34427.0,7.558333333333334
