Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Import_€_Any
2016,1,Ciutat Vella,1,el Raval,10980
2016,1,Ciutat Vella,2,el Barri Gòtic,14411
2016,1,Ciutat Vella,3,la Barceloneta,14618
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",15930
2016,2,Eixample,5,el Fort Pienc,21374
2016,2,Eixample,6,la Sagrada Família,21396
2016,2,Eixample,7,la Dreta de l'Eixample,27633
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,25179
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,23846
2016,2,Eixample,10,Sant Antoni,21237
2016,3,Sants-Montjuïc,11,el Poble Sec,14939
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,11811
2016,3,Sants-Montjuïc,13,la Marina de Port,16379
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,19034
2016,3,Sants-Montjuïc,15,Hostafrancs,18533
2016,3,Sants-Montjuïc,16,la Bordeta,18743
2016,3,Sants-Montjuïc,17,Sants - Badal,18417
2016,3,Sants-Montjuïc,18,Sants,20419
2016,4,Les Corts,19,les Corts,27108
2016,4,Les Corts,20,la Maternitat i Sant Ramon,24796
2016,4,Les Corts,21,Pedralbes,35765
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",25561
2016,5,Sarrià-Sant Gervasi,23,Sarrià,30410
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,37501
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,31631
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,33728
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,27697
2016,6,Gràcia,28,Vallcarca i els Penitents,24880
2016,6,Gràcia,29,el Coll,19149
2016,6,Gràcia,30,la Salut,22791
2016,6,Gràcia,31,la Vila de Gràcia,21289
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,23696
2016,7,Horta-Guinardó,33,el Baix Guinardó,20563
2016,7,Horta-Guinardó,34,Can Baró,18887
2016,7,Horta-Guinardó,35,el Guinardó,20242
2016,7,Horta-Guinardó,36,la Font d'en Fargues,23984
2016,7,Horta-Guinardó,37,el Carmel,14729
2016,7,Horta-Guinardó,38,la Teixonera,16831
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,16953
2016,7,Horta-Guinardó,40,Montbau,17624
2016,7,Horta-Guinardó,41,la Vall d'Hebron,22389
2016,7,Horta-Guinardó,42,la Clota,19888
2016,7,Horta-Guinardó,43,Horta,18757
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,18627
2016,8,Nou Barris,45,Porta,16664
2016,8,Nou Barris,46,el Turó de la Peira,13824
2016,8,Nou Barris,47,Can Peguera,12560
2016,8,Nou Barris,48,la Guineueta,18595
2016,8,Nou Barris,49,Canyelles,17230
2016,8,Nou Barris,50,les Roquetes,12759
2016,8,Nou Barris,51,Verdun,13782
2016,8,Nou Barris,52,la Prosperitat,15147
2016,8,Nou Barris,53,la Trinitat Nova,11514
2016,8,Nou Barris,54,Torre Baró,10849
2016,8,Nou Barris,55,Ciutat Meridiana,10457
2016,8,Nou Barris,56,Vallbona,10836
2016,9,Sant Andreu,57,la Trinitat Vella,11500
2016,9,Sant Andreu,58,Baró de Viver,11602
2016,9,Sant Andreu,59,el Bon Pastor,14609
2016,9,Sant Andreu,60,Sant Andreu,20622
2016,9,Sant Andreu,61,la Sagrera,19209
2016,9,Sant Andreu,62,el Congrés i els Indians,18948
2016,9,Sant Andreu,63,Navas,19436
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,20036
2016,10,Sant Martí,65,el Clot,19773
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,20082
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,30840
2016,10,Sant Martí,68,el Poblenou,20828
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,24150
2016,10,Sant Martí,70,el Besòs i el Maresme,12392
2016,10,Sant Martí,71,Provençals del Poblenou,19201
2016,10,Sant Martí,72,Sant Martí de Provençals,17821
2016,10,Sant Martí,73,la Verneda i la Pau,16310
