Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
2016,1,Ciutat Vella,1,el Raval,105.5
2016,1,Ciutat Vella,2,el Barri Gòtic,140.7
2016,1,Ciutat Vella,3,la Barceloneta,103.0
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",106.5
2016,2,Eixample,5,el Fort Pienc,62.9
2016,2,Eixample,6,la Sagrada Família,61.4
2016,2,Eixample,7,la Dreta de l'Eixample,67.4
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,69.5
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,60.4
2016,2,Eixample,10,Sant Antoni,56.2
2016,3,Sants-Montjuïc,11,el Poble Sec,68.1
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,30.6
2016,3,Sants-Montjuïc,13,la Marina de Port,42.8
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,58.2
2016,3,Sants-Montjuïc,15,Hostafrancs,64.3
2016,3,Sants-Montjuïc,16,la Bordeta,47.9
2016,3,Sants-Montjuïc,17,Sants - Badal,57.1
2016,3,Sants-Montjuïc,18,Sants,56.9
2016,4,Les Corts,19,les Corts,44.5
2016,4,Les Corts,20,la Maternitat i Sant Ramon,50.7
2016,4,Les Corts,21,Pedralbes,61.9
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",32.3
2016,5,Sarrià-Sant Gervasi,23,Sarrià,45.6
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,37.1
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,43.7
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,48.1
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,43.2
2016,6,Gràcia,28,Vallcarca i els Penitents,43.5
2016,6,Gràcia,29,el Coll,44.9
2016,6,Gràcia,30,la Salut,46.4
2016,6,Gràcia,31,la Vila de Gràcia,60.3
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,43.9
2016,7,Horta-Guinardó,33,el Baix Guinardó,41.4
2016,7,Horta-Guinardó,34,Can Baró,41.7
2016,7,Horta-Guinardó,35,el Guinardó,44.9
2016,7,Horta-Guinardó,36,la Font d'en Fargues,21.4
2016,7,Horta-Guinardó,37,el Carmel,36.7
2016,7,Horta-Guinardó,38,la Teixonera,47.5
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,51.5
2016,7,Horta-Guinardó,40,Montbau,45.7
2016,7,Horta-Guinardó,41,la Vall d'Hebron,37.1
2016,7,Horta-Guinardó,42,la Clota,39.4
2016,7,Horta-Guinardó,43,Horta,36.5
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,37.4
2016,8,Nou Barris,45,Porta,47.5
2016,8,Nou Barris,46,el Turó de la Peira,46.6
2016,8,Nou Barris,47,Can Peguera,30.1
2016,8,Nou Barris,48,la Guineueta,30.8
2016,8,Nou Barris,49,Canyelles,18.6
2016,8,Nou Barris,50,les Roquetes,55.3
2016,8,Nou Barris,51,Verdun,46.9
2016,8,Nou Barris,52,la Prosperitat,41.9
2016,8,Nou Barris,53,la Trinitat Nova,47.5
2016,8,Nou Barris,54,Torre Baró,44.7
2016,8,Nou Barris,55,Ciutat Meridiana,62.3
2016,8,Nou Barris,56,Vallbona,48.0
2016,9,Sant Andreu,57,la Trinitat Vella,54.3
2016,9,Sant Andreu,58,Baró de Viver,33.5
2016,9,Sant Andreu,59,el Bon Pastor,38.4
2016,9,Sant Andreu,60,Sant Andreu,30.8
2016,9,Sant Andreu,61,la Sagrera,40.9
2016,9,Sant Andreu,62,el Congrés i els Indians,39.1
2016,9,Sant Andreu,63,Navas,41.3
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,49.7
2016,10,Sant Martí,65,el Clot,43.0
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,57.6
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,41.8
2016,10,Sant Martí,68,el Poblenou,48.2
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,49.9
2016,10,Sant Martí,70,el Besòs i el Maresme,69.2
2016,10,Sant Martí,71,Provençals del Poblenou,39.5
2016,10,Sant Martí,72,Sant Martí de Provençals,39.8
2016,10,Sant Martí,73,la Verneda i la Pau,35.1
