"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Index_Gini"
2017,1,"Ciutat Vella",1,"el Raval",1,"33.4"
2017,1,"Ciutat Vella",1,"el Raval",2,"38.5"
2017,1,"Ciutat Vella",1,"el Raval",3,"37.1"
2017,1,"Ciutat Vella",1,"el Raval",4,"37.8"
2017,1,"Ciutat Vella",1,"el Raval",5,"38.5"
2017,1,"Ciutat Vella",1,"el Raval",6,"40.6"
2017,1,"Ciutat Vella",1,"el Raval",7,"37.5"
2017,1,"Ciutat Vella",1,"el Raval",8,"34.1"
2017,1,"Ciutat Vella",1,"el Raval",9,"37.6"
2017,1,"Ciutat Vella",1,"el Raval",10,"34.9"
2017,1,"Ciutat Vella",1,"el Raval",11,"35.7"
2017,1,"Ciutat Vella",1,"el Raval",12,"35.3"
2017,1,"Ciutat Vella",1,"el Raval",13,"33.2"
2017,1,"Ciutat Vella",1,"el Raval",14,"31.2"
2017,1,"Ciutat Vella",1,"el Raval",15,"35.1"
2017,1,"Ciutat Vella",1,"el Raval",16,"31.4"
2017,1,"Ciutat Vella",1,"el Raval",17,"29.9"
2017,1,"Ciutat Vella",1,"el Raval",18,"31.9"
2017,1,"Ciutat Vella",1,"el Raval",19,"33.7"
2017,1,"Ciutat Vella",1,"el Raval",20,"38.3"
2017,1,"Ciutat Vella",1,"el Raval",21,"38.7"
2017,1,"Ciutat Vella",2,"el Gòtic",22,"41.5"
2017,1,"Ciutat Vella",2,"el Gòtic",23,"39.0"
2017,1,"Ciutat Vella",2,"el Gòtic",25,"41.0"
2017,1,"Ciutat Vella",2,"el Gòtic",26,"42.5"
2017,1,"Ciutat Vella",2,"el Gòtic",27,"40.9"
2017,1,"Ciutat Vella",2,"el Gòtic",28,"38.8"
2017,1,"Ciutat Vella",2,"el Gòtic",29,"41.7"
2017,1,"Ciutat Vella",2,"el Gòtic",30,"40.0"
2017,1,"Ciutat Vella",2,"el Gòtic",31,"42.9"
2017,1,"Ciutat Vella",3,"la Barceloneta",32,"36.1"
2017,1,"Ciutat Vella",3,"la Barceloneta",33,"33.5"
2017,1,"Ciutat Vella",3,"la Barceloneta",34,"34.5"
2017,1,"Ciutat Vella",3,"la Barceloneta",35,"34.5"
2017,1,"Ciutat Vella",3,"la Barceloneta",36,"35.1"
2017,1,"Ciutat Vella",3,"la Barceloneta",37,"33.3"
2017,1,"Ciutat Vella",3,"la Barceloneta",38,"36.3"
2017,1,"Ciutat Vella",3,"la Barceloneta",39,"32.1"
2017,1,"Ciutat Vella",3,"la Barceloneta",40,"38.3"
2017,1,"Ciutat Vella",3,"la Barceloneta",41,"35.8"
2017,1,"Ciutat Vella",3,"la Barceloneta",42,"33.6"
