Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G
2017,1,Ciutat Vella,1,el Raval,1,1001,10,1
2017,1,Ciutat Vella,1,el Raval,1,1001,..,3
2017,1,Ciutat Vella,1,el Raval,1,1002,22,1
2017,1,Ciutat Vella,1,el Raval,2,1003,25,1
2017,1,Ciutat Vella,1,el Raval,2,1004,16,1
2017,1,Ciutat Vella,1,el Raval,2,1004,..,3
2017,1,Ciutat Vella,1,el Raval,3,1005,17,1
2017,1,Ciutat Vella,1,el Raval,3,1005,..,2
2017,1,Ciutat Vella,1,el Raval,3,1005,..,3
2017,1,Ciutat Vella,1,el Raval,3,1006,11,1
2017,1,Ciutat Vella,1,el Raval,3,1006,..,2
2017,1,Ciutat Vella,1,el Raval,3,1006,..,3
2017,1,Ciutat Vella,1,el Raval,3,1007,7,1
2017,1,Ciutat Vella,1,el Raval,4,1008,28,1
2017,1,Ciutat Vella,1,el Raval,4,1008,..,3
2017,1,Ciutat Vella,1,el Raval,4,1009,13,1
2017,1,Ciutat Vella,1,el Raval,4,1009,..,3
2017,1,Ciutat Vella,1,el Raval,4,1010,13,1
2017,1,Ciutat Vella,1,el Raval,4,1010,..,3
2017,1,Ciutat Vella,1,el Raval,5,1011,19,1
2017,1,Ciutat Vella,1,el Raval,5,1011,..,3
2017,1,Ciutat Vella,1,el Raval,5,1012,11,1
2017,1,Ciutat Vella,1,el Raval,5,1013,8,1
2017,1,Ciutat Vella,1,el Raval,6,1014,14,1
2017,1,Ciutat Vella,1,el Raval,6,1014,..,3
2017,1,Ciutat Vella,1,el Raval,6,1015,15,1
2017,1,Ciutat Vella,1,el Raval,6,1015,..,2
2017,1,Ciutat Vella,1,el Raval,6,1015,..,3
2017,1,Ciutat Vella,1,el Raval,6,1016,12,1
2017,1,Ciutat Vella,1,el Raval,6,1016,..,3
2017,1,Ciutat Vella,1,el Raval,6,1017,9,1
2017,1,Ciutat Vella,1,el Raval,6,1017,..,3
2017,1,Ciutat Vella,1,el Raval,7,1018,16,1
