Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
2017,1,Ciutat Vella,1,el Raval,10.5
2017,1,Ciutat Vella,2,el Barri Gòtic,6.7
2017,1,Ciutat Vella,3,la Barceloneta,6.7
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7.9
2017,2,Eixample,5,el Fort Pienc,7.2
2017,2,Eixample,6,la Sagrada Família,7.5
2017,2,Eixample,7,la Dreta de l'Eixample,7.8
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8.0
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,7.9
2017,2,Eixample,10,Sant Antoni,7.8
2017,3,Sants-Montjuïc,11,el Poble Sec,8.2
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,10.4
2017,3,Sants-Montjuïc,13,la Marina de Port,7.7
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,6.9
2017,3,Sants-Montjuïc,15,Hostafrancs,8.9
2017,3,Sants-Montjuïc,16,la Bordeta,8.4
2017,3,Sants-Montjuïc,17,Sants - Badal,8.5
2017,3,Sants-Montjuïc,18,Sants,8.1
2017,4,Les Corts,19,les Corts,8.1
2017,4,Les Corts,20,la Maternitat i Sant Ramon,8.6
2017,4,Les Corts,21,Pedralbes,5.2
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",7.9
2017,5,Sarrià-Sant Gervasi,23,Sarrià,9.2
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,8.0
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,7.7
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,8.4
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,8.9
2017,6,Gràcia,28,Vallcarca i els Penitents,8.3
2017,6,Gràcia,29,el Coll,6.8
2017,6,Gràcia,30,la Salut,7.8
2017,6,Gràcia,31,la Vila de Gràcia,9.4
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,8.5
2017,7,Horta-Guinardó,33,el Baix Guinardó,7.4
2017,7,Horta-Guinardó,34,Can Baró,8.7
2017,7,Horta-Guinardó,35,el Guinardó,8.7
2017,7,Horta-Guinardó,36,la Font d'en Fargues,6.2
2017,7,Horta-Guinardó,37,el Carmel,8.2
2017,7,Horta-Guinardó,38,la Teixonera,7.6
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,8.0
2017,7,Horta-Guinardó,40,Montbau,8.4
2017,7,Horta-Guinardó,41,la Vall d'Hebron,5.5
2017,7,Horta-Guinardó,42,la Clota,21.
2017,7,Horta-Guinardó,43,Horta,7.1
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,7.8
2017,8,Nou Barris,45,Porta,8.8
2017,8,Nou Barris,46,el Turó de la Peira,11.2
2017,8,Nou Barris,47,Can Peguera,5.7
2017,8,Nou Barris,48,la Guineueta,5.7
2017,8,Nou Barris,49,Canyelles,7.1
2017,8,Nou Barris,50,les Roquetes,10.9
2017,8,Nou Barris,51,Verdun,7.9
2017,8,Nou Barris,52,la Prosperitat,9.5
2017,8,Nou Barris,53,la Trinitat Nova,9.0
2017,8,Nou Barris,54,Torre Baró,9.8
2017,8,Nou Barris,55,Ciutat Meridiana,9.8
2017,8,Nou Barris,56,Vallbona,11.6
2017,9,Sant Andreu,57,la Trinitat Vella,12.0
2017,9,Sant Andreu,58,Baró de Viver,9.4
2017,9,Sant Andreu,59,el Bon Pastor,10.0
2017,9,Sant Andreu,60,Sant Andreu,8.0
2017,9,Sant Andreu,61,la Sagrera,7.9
2017,9,Sant Andreu,62,el Congrés i els Indians,8.6
2017,9,Sant Andreu,63,Navas,8.1
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,8.0
2017,10,Sant Martí,65,el Clot,7.6
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,10.1
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,6.7
2017,10,Sant Martí,68,el Poblenou,9.3
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,11.8
2017,10,Sant Martí,70,el Besòs i el Maresme,9.4
2017,10,Sant Martí,71,Provençals del Poblenou,9.0
2017,10,Sant Martí,72,Sant Martí de Provençals,7.5
2017,10,Sant Martí,73,la Verneda i la Pau,7.9
