Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,583,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,698,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,684,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,817,2
2018-01-01,1,Ciutat Vella,1,el Raval,2,1003,1616,1
2018-01-01,1,Ciutat Vella,1,el Raval,2,1003,1880,2
2018-01-01,1,Ciutat Vella,1,el Raval,2,1004,1313,1
2018-01-01,1,Ciutat Vella,1,el Raval,2,1004,1562,2
2018-01-01,1,Ciutat Vella,1,el Raval,3,1005,1112,1
2018-01-01,1,Ciutat Vella,1,el Raval,3,1005,1348,2
2018-01-01,1,Ciutat Vella,1,el Raval,3,1006,710,1
2018-01-01,1,Ciutat Vella,1,el Raval,3,1006,925,2
2018-01-01,1,Ciutat Vella,1,el Raval,3,1007,790,1
2018-01-01,1,Ciutat Vella,1,el Raval,3,1007,1192,2
2018-01-01,1,Ciutat Vella,1,el Raval,4,1008,1321,1
2018-01-01,1,Ciutat Vella,1,el Raval,4,1008,1985,2
2018-01-01,1,Ciutat Vella,1,el Raval,4,1009,1003,1
2018-01-01,1,Ciutat Vella,1,el Raval,4,1009,1243,2
2018-01-01,1,Ciutat Vella,1,el Raval,4,1010,1061,1
2018-01-01,1,Ciutat Vella,1,el Raval,4,1010,1378,2
2018-01-01,1,Ciutat Vella,1,el Raval,5,1011,1416,1
2018-01-01,1,Ciutat Vella,1,el Raval,5,1011,1820,2
2018-01-01,1,Ciutat Vella,1,el Raval,5,1012,947,1
2018-01-01,1,Ciutat Vella,1,el Raval,5,1012,961,2
2018-01-01,1,Ciutat Vella,1,el Raval,5,1013,741,1
2018-01-01,1,Ciutat Vella,1,el Raval,5,1013,693,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,1014,936,1
2018-01-01,1,Ciutat Vella,1,el Raval,6,1014,1113,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,1015,1121,1
2018-01-01,1,Ciutat Vella,1,el Raval,6,1015,1255,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,1016,1055,1
2018-01-01,1,Ciutat Vella,1,el Raval,6,1016,1128,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,1017,1282,1
2018-01-01,1,Ciutat Vella,1,el Raval,6,1017,1236,2
2018-01-01,1,Ciutat Vella,1,el Raval,7,1018,816,1
2018-01-01,1,Ciutat Vella,1,el Raval,7,1018,840,2
2018-01-01,1,Ciutat Vella,1,el Raval,7,1019,1328,1
2018-01-01,1,Ciutat Vella,1,el Raval,7,1019,1517,2
2018-01-01,1,Ciutat Vella,1,el Raval,7,1020,1092,1
2018-01-01,1,Ciutat Vella,1,el Raval,7,1020,977,2
2018-01-01,1,Ciutat Vella,1,el Raval,8,1021,1016,1
2018-01-01,1,Ciutat Vella,1,el Raval,8,1021,1003,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,680,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,596,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1002,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,980,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,631,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,616,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1232,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,2445,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,811,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,818,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,931,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,881,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,691,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,695,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1230,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1252,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,694,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,850,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,901,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,893,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,532,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,595,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,479,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,450,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,635,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,657,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,643,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,556,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,760,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,685,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,668,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,800,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,632,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,647,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,557,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,545,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,707,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,748,2
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,975,1
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,828,2
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,812,1
