"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Euros_Any"
2018,1,"Ciutat Vella",1,"el Raval",11736
2018,1,"Ciutat Vella",2,"el Barri Gòtic",15752
2018,1,"Ciutat Vella",3,"la Barceloneta",15680
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17397
2018,2,"Eixample",5,"el Fort Pienc",21983
2018,2,"Eixample",6,"la Sagrada Família",21812
2018,2,"Eixample",7,"la Dreta de l'Eixample",28243
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",26448
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample",24358
2018,2,"Eixample",10,"Sant Antoni",21586
2018,3,"Sants-Montjuïc",11,"el Poble Sec",15525
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",12442
2018,3,"Sants-Montjuïc",13,"la Marina de Port",16405
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla",19582
2018,3,"Sants-Montjuïc",15,"Hostafrancs",18934
2018,3,"Sants-Montjuïc",16,"la Bordeta",19406
2018,3,"Sants-Montjuïc",17,"Sants - Badal",19106
2018,3,"Sants-Montjuïc",18,"Sants",20991
2018,4,"Les Corts",19,"les Corts",27616
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon",25043
2018,4,"Les Corts",21,"Pedralbes",36589
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",25513
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià",33548
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",39328
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",34151
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",35891
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",28809
2018,6,"Gràcia",28,"Vallcarca i els Penitents",24907
2018,6,"Gràcia",29,"el Coll",19625
2018,6,"Gràcia",30,"la Salut",23503
2018,6,"Gràcia",31,"la Vila de Gràcia",22487
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",23783
2018,7,"Horta-Guinardó",33,"el Baix Guinardó",20689
2018,7,"Horta-Guinardó",34,"Can Baró",19464
2018,7,"Horta-Guinardó",35,"el Guinardó",20207
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues",23431
2018,7,"Horta-Guinardó",37,"el Carmel",15032
2018,7,"Horta-Guinardó",38,"la Teixonera",16716
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",17461
2018,7,"Horta-Guinardó",40,"Montbau",18331
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron",22049
2018,7,"Horta-Guinardó",42,"la Clota",19759
2018,7,"Horta-Guinardó",43,"Horta",19354
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",18588
2018,8,"Nou Barris",45,"Porta",16800
2018,8,"Nou Barris",46,"el Turó de la Peira",13966
2018,8,"Nou Barris",47,"Can Peguera",12880
2018,8,"Nou Barris",48,"la Guineueta",18607
2018,8,"Nou Barris",49,"Canyelles",17218
2018,8,"Nou Barris",50,"les Roquetes",12937
2018,8,"Nou Barris",51,"Verdun",13823
2018,8,"Nou Barris",52,"la Prosperitat",15324
2018,8,"Nou Barris",53,"la Trinitat Nova",12018
2018,8,"Nou Barris",54,"Torre Baró",11384
2018,8,"Nou Barris",55,"Ciutat Meridiana",10610
2018,8,"Nou Barris",56,"Vallbona",11494
2018,9,"Sant Andreu",57,"la Trinitat Vella",11948
2018,9,"Sant Andreu",58,"Baró de Viver",12093
2018,9,"Sant Andreu",59,"el Bon Pastor",15032
2018,9,"Sant Andreu",60,"Sant Andreu",20670
2018,9,"Sant Andreu",61,"la Sagrera",19090
2018,9,"Sant Andreu",62,"el Congrés i els Indians",19343
2018,9,"Sant Andreu",63,"Navas",19605
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",20347
2018,10,"Sant Martí",65,"el Clot",19960
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",20282
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",30716
2018,10,"Sant Martí",68,"el Poblenou",21158
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",23908
2018,10,"Sant Martí",70,"el Besòs i el Maresme",12694
2018,10,"Sant Martí",71,"Provençals del Poblenou",19459
2018,10,"Sant Martí",72,"Sant Martí de Provençals",17956
2018,10,"Sant Martí",73,"la Verneda i la Pau",16128
