"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Taxa_mil_hab","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Taxa per mil habitants",121.389622561131
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Taxa per mil habitants",206.323590938976
2018,1,"Ciutat Vella",3,"la Barceloneta","Taxa per mil habitants",114.051156794898
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Taxa per mil habitants",127.063150340868
2018,2,"Eixample",5,"el Fort Pienc","Taxa per mil habitants",75.4651964162646
2018,2,"Eixample",6,"la Sagrada Família","Taxa per mil habitants",74.2378494204734
2018,2,"Eixample",7,"la Dreta de l'Eixample","Taxa per mil habitants",75.3296968860043
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Taxa per mil habitants",86.0176823342577
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Taxa per mil habitants",67.5430565392389
2018,2,"Eixample",10,"Sant Antoni","Taxa per mil habitants",69.2832764505119
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Taxa per mil habitants",84.2105263157895
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Taxa per mil habitants",45.7685664939551
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Taxa per mil habitants",55.4468362687541
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Taxa per mil habitants",68.2483889865261
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Taxa per mil habitants",81.2716399118665
2018,3,"Sants-Montjuïc",16,"la Bordeta","Taxa per mil habitants",60.2505998400427
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Taxa per mil habitants",68.8098323648677
2018,3,"Sants-Montjuïc",18,"Sants","Taxa per mil habitants",78.4704338953404
2018,4,"Les Corts",19,"les Corts","Taxa per mil habitants",52.4391040292562
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Taxa per mil habitants",57.9728370221328
2018,4,"Les Corts",21,"Pedralbes","Taxa per mil habitants",54.4314381270903
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Taxa per mil habitants",30.2256279267773
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Taxa per mil habitants",48.4884884884885
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Taxa per mil habitants",43.7079731027858
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Taxa per mil habitants",51.4886164623468
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Taxa per mil habitants",49.1868722948271
